title,link,schedule,location_name,address,tag,description
Words & Sounds with Sierra Sellers!,https://www.pghcitypaper.com/pittsburgh/words-and-sounds-with-sierra-sellers/Event?oid=27570495,"Sun., March 9, 7:30-9:30 p.m.",Kingfly Spirits,"2613 Smallman St., Pittsburgh
Strip District",Open Stage,"Vocalist / Songwriter Sierra Sellers returns to Kingfly for a night of Words & Sounds! An open mic and jam session featuring Allen Bell, Denzel Chismar-Oliver and Remy Vega : it’s an invitation to all singers / rappers / poets / musicians to join us on Sunday, March 9 from 7:30-9:30pm. Sierra has continued to create new music while residing in Los Angeles and will be performing some of her personal work that can currently be found on all music platforms. You can view more on Sierra via her social media pages: (FB) Sierra Sellers / (IG) @sierra_sellers_"
The Neighborhood Flea,https://www.pghcitypaper.com/pittsburgh/the-neighborhood-flea/Event?oid=1917607,"Second Sunday of every month, 11 a.m.-5 p.m.",Strip District,"Strip District, Pittsburgh
Strip District",Other Stuff,"This open air, curated flea market is the perfect place to take your mom for a casual stroll on Mother’s Day. Head down to the Neighborhood Flea and pick up a trinket and dance to some music from DJ EZ Lou, all while you drink your morning coffee. Is every restaurant completely booked? Grab some on-the-go gourmet foods from the fleet of food trucks on site, like Pie Bird and Good Chroma. Let Rebecca Bloom read her tarot cards for you for some extra insight. -Celine Roberts"
PFLAG Pittsburgh,https://www.pghcitypaper.com/pittsburgh/pflag-pittsburgh/Event?oid=1848211,"Second Sunday of every month, 2-4:30 p.m.",Third Presbyterian Church,"5701 Fifth Avenue, Pittsburgh
Oakland",Other Stuff,"Support, education & advocacy for the LGBTQ community, family & friends. http://pflagpgh.weebly.com/."
,,,,,,
Arabic for Beginners,https://www.pghcitypaper.com/pittsburgh/arabic-for-beginners/Event?oid=1864210,"Second and Third Sunday of every month, 2-3 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh
Oakland",Other Stuff,412-622-3114
Arcade Community Comedy,https://www.pghcitypaper.com/pittsburgh/arcade-community-comedy/Event?oid=27264459,"Sundays, 7:30 a.m.-9 p.m. Continues through March 23",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"Join us at Arcade every Sunday and engage with our community. Maybe you'd like to participate in our improv jams with Select Start. Well Known Strangers, or our community in the Lucky Draw--or maybe you'd like to try your hand at stand-up or a variety act for Your ACT! Or maybe you'd just like to see what our community can bring together, Sunday nights are the place to see Arcade. (412) 339-0608"
Veterans Day Centennial & All Holidays Music Services & Hospitalities,https://www.pghcitypaper.com/pittsburgh/veterans-day-centennial-and-all-holidays-music-services-and-hospitalities/Event?oid=11439189,"Sundays, 10:30 a.m.",Trinity Cathedral,"328 Sixth St., Pittsburgh
Downtown",Holiday,"Sunday, November 11 is not only Veterans Day but the 100th anniversary of the end of the first World War. We will mark the occasion with at our 10:30 A.M. with service of remembrance, honoring those who served and remembering those who were killed during that war. Sunday, November 4 at 10:30 A.M. we will celebrate All Saint's Day with a special service including special music from the Trinity Cathedral Choir. Service with Music and Choir Followed by Fellowship and Refreshments Sundays @ 10:30 a.m. 412-232-6404"
"Weekly Dog Friendly Event for Pittsburgh - Sit, Stay, Praise!",https://www.pghcitypaper.com/pittsburgh/weekly-dog-friendly-event-for-pittsburgh-sit-stay-praise/Event?oid=16743844,"Sundays, 11 a.m.-12 p.m.",Jefferson United Methodist Church,"310 Gill Hall Road, Jefferson Hills
Clairton",Other Stuff,"“Sit, Stay, Praise!” is a dog friendly casual worship service at Jefferson United Methodist Church. Bring your furry best buddy and enjoy a casual and comfortable time of worship together with music, discussion about God’s word, and fellowship time with others who love their dogs. And be sure to share this with your dog-loving friends too! It’s happening every Sunday at 11 am. Everyone is welcome, even if you don’t bring a dog, you can still enjoy this dog friendly worship experience. All canine congregants should be friendly, well-mannered and be current on their vaccinations and flea treatments. 412-653-3222"
Acoustic Brunch,https://www.pghcitypaper.com/pittsburgh/acoustic-brunch/Event?oid=16014760,"Sundays, 11 a.m.-2 p.m.",Thunderbird Café & Music Hall,"4053 Butler Street, Pittsburgh
Lawrenceville",Open Stage,"Acoustic Brunch welcomes all styles of music, poetry, spoken word, comedy in an open mic format.We also have 'Feature Artist's sandwiched in the middle of our show. To top off, we offer some yummy food from our brunch menu too! 412-682-0177"
Wallace Whiskey Room and Kitchen Saturday Jazz Jam w/ Tony Campbell,https://www.pghcitypaper.com/pittsburgh/wallace-whiskey-room-and-kitchen-saturday-jazz-jam-w-tony-campbell/Event?oid=15210495,"Sundays, 5-8 p.m.",Wallace's Tap Room,"123 N Highland Ave, Pittsburgh
East Liberty",Jazz,Tony Campbell - Sax 412.665.0555
,,,,,,
Recruiting singers for Coro Latinoamericano,https://www.pghcitypaper.com/pittsburgh/recruiting-singers-for-coro-latinoamericano/Event?oid=27111535,"Sundays, 5:15-5:30 p.m.",First Unitarian Church,"605 Morewood Avenue, Pittsburgh
Shadyside",Auditions,"The Coro Latinoamericano – Pittsburgh, founded in 1997, is a secular community choir with a professional director. We are dedicated to building bridges to other peoples and cultures in Pittsburgh and beyond through choral music from the countries of Central and South America, the Caribbean, and the Iberian Peninsula. As a 501(c)(3) non-profit organization, Coro Latinoamericano – Pittsburgh is committed to educational outreach and the cultural enrichment of the Pittsburgh and Southwestern Pennsylvania region, and beyond. Knowledge of Spanish and/or music sight-reading are not required, but a plus. We've recently collaborated with the Mendelssohn Choir and the Heritage Gospel Chorale. 412-345-1047"
"Ballet, Jazz & Belly Dance for Kids",https://www.pghcitypaper.com/pittsburgh/ballet-jazz-and-belly-dance-for-kids/Event?oid=14192822,"Mondays, Sundays, 6-7 p.m.",Art in Motion Pittsburgh,"1001 Main St., Floor 2, Sharpsburg
Sharpsburg",Dance,"Students will learn the basics of belly dance by exploring music, movement, and rhythms with fun props like finger cymbals, veils, wings, and canes. This age appropriate class features technique, choreography, and games 412-447-1827"
Soul'd Out Supper,https://www.pghcitypaper.com/pittsburgh/sould-out-supper/Event?oid=16743851,"Sundays, 6:30 p.m.",Elrama Tavern,"1520 Pennsylvania 837, Elrama
Clairton",Food & Drink Event,"Soul’d Out Supper is ""dinner church"" held every Sunday night at 6:30 in the upper room at the Elrama Tavern on State Route 837 in Elrama, PA. All are welcome! The early church began around the dinner table. We have discovered that this form of worship appeals to some who would like a more casual form of worship, where they can participate in discussion, ask questions and enjoy fellowship in a non-threatening environment. Dinner is delicious and free, but an offering is accepted to continue and support this excellent ministry outside the walls of a church building. 412-384-3630"
Billy the Kid's Steel Town All-Stars,https://www.pghcitypaper.com/pittsburgh/billy-the-kids-steel-town-all-stars/Event?oid=1962748,"Sundays, 7-10 p.m.",The R Bar,"2883 West Liberty Avenue, Dormont
Dormont",Rock,412-942-0882
Billy The Kid’s Steel Town All-Stars Sunday Service Jam Session,https://www.pghcitypaper.com/pittsburgh/billy-the-kids-steel-town-all-stars-sunday-service-jam-session/Event?oid=12618451,"Sundays, 8-11 p.m.",R Bar,"2883 West Liberty Ave, Dormont
Dormont",Open Stage,Billy The Kid’s Steel Town All-Stars Sunday Service Jam Session. Rotating guest musician each week. All musicians and singers of all genres and skill levels welcome. 4129420882
Sunday Nights Karaoke,https://www.pghcitypaper.com/pittsburgh/sunday-nights-karaoke/Event?oid=21164018,"Sundays, 9 p.m.-2:30 a.m.",Sonny's Tavern,"630 S. Millvale Ave., Pittsburgh
Bloomfield",Other Music,Karaoke - W/ DJ Rachel - Every Sunday Night 412-683-5844
,,,,,,
Sunday Night Karaoke,https://www.pghcitypaper.com/pittsburgh/sunday-night-karaoke/Event?oid=15099467,"Sundays, 10 p.m.-2 a.m.",Sonny's Tavern,"630 S. Millvale Ave., Pittsburgh
Bloomfield",Other Music,Karaoke with Mike from Top Of The Line Entertainment! 412-683-5844
Service with music and choir followed by fellowship and refreshments,https://www.pghcitypaper.com/pittsburgh/service-with-music-and-choir-followed-by-fellowship-and-refreshments/Event?oid=11300209,"Sundays, 10:30 p.m.",Trinity Cathedral,"328 Sixth St., Pittsburgh
Downtown",Classical,Sundays @ 10:30 a.m. Rite I (through Lent) Holy Eucharist Service with music and choir followed by fellowship and refreshments. 412-232-6404
Networking and Shopping Small at AZ Home Details,https://www.pghcitypaper.com/pittsburgh/networking-and-shopping-small-at-az-home-details/Event?oid=27491320,"Mon., March 10, 4:30-6 p.m.",AZ Home Details,"421 Seventh Avenue, Pittsburgh
Downtown",Fashion,"Join MGC for an evening of Networking and Shopping Small at AZ Home Details, a woman and minority owned business. Light refreshments and charcuterie are provided by Massaro Properties. Registration is required. About the Venue: AZ Home Details, owned by Jennie Zoe, specializes in handmade and sustainable home décor and gifts at 421 Seventh Avenue. The business is currently featured in the Massaro Properties’ Project Pop-Up program through the Pittsburgh Downtown Partnership. 4122014204"
PUBLIQuartet,https://www.pghcitypaper.com/pittsburgh/publiquartet/Event?oid=26924299,"Mon., March 10, 7:30-10 p.m.",Pittsburgh Playhouse of Point Park University,"350 Forbes Avenue, Pittsburgh
Downtown",Classical,"PUBLIQuartet presents What is American: Found Futures in its Chamber Music Pittsburgh debut. This groundbreaking program blurs the boundaries between improvisation and composition, Afrofuturism and contemporary classical performance, perceived past and imagined future. With works by Henry Threadgill, George Lewis, Vijay Iyer, and members of PUBLIQuartet, interspersed with reinterpretations of music by Julia Perry, Duke Ellington, and Sun Ra, this concert envisions a future for American classical music rooted in a spirit of now-ness. 412-626-6121"
Tyler Ramsey (of Band of Horses) Live at Crafthouse,https://www.pghcitypaper.com/pittsburgh/tyler-ramsey-of-band-of-horses-live-at-crafthouse/Event?oid=27517118,"Mon., March 10, 7:30-10 p.m.",Crafthouse Stage & Grill,"5024 Curry Road, Pittsburgh
Overbrook",Indie,"Tyler Ramsey (w/ his band) and support from Nick Guckert - Tyler Ramsey is a singer-songwriter and guitarist known for his evocative, genre-blending sound that fuses folk, rock, and alternative influences. Based outside of Asheville, NC, Ramsey gained recognition as a key member of Band of Horses, but his solo career has proven his depth as an artist in his own right. He's released critically acclaimed albums including his latest, ""New Lost Ages"". With masterful guitar work and a gift for storytelling, Tyler continues to carve out his own space in the world of modern folk and indie rock. 412-653-2695"
What's Your Story?,https://www.pghcitypaper.com/pittsburgh/whats-your-story/Event?oid=1886971,"Second and Fourth Monday of every month, 12:30-2:30 p.m.",Shaler North Hills Library,"1822 Mt. Royal Blvd., Glenshaw
Glenshaw",Literary,An adult writing group for light-hearted stories. 412-486-0211
German Conversation Club,https://www.pghcitypaper.com/pittsburgh/german-conversation-club/Event?oid=1748902,"Second and Fourth Monday of every month, 6:30-7:30 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh
Oakland",Other Stuff,412-622-3151
Amnesty International Pittsburgh Meeting,https://www.pghcitypaper.com/pittsburgh/amnesty-international-pittsburgh-meeting/Event?oid=1494741,"Second Monday of every month, 7 p.m.",First Unitarian Church,"605 Morewood Avenue, Pittsburgh
Shadyside",Other Stuff,Monthly meeting. 412-621-8008
Board Game Night,https://www.pghcitypaper.com/pittsburgh/board-game-night/Event?oid=25327942,"Second Monday of every month, 7 p.m.",Spirit,"242 51st Street, Pittsburgh
Lawrenceville",Games,City of Play Board Game night at Spirit. Free to attend. Come out play some games and meet new people! https://www.facebook.com/CityofPlay/events 4125864441
City of Play Game Night,https://www.pghcitypaper.com/pittsburgh/city-of-play-game-night/Event?oid=21768888,"Second Monday of every month, 7-11 p.m.",Spirit Hall & Lodge,"242 51st St., Pittsburgh
Lawrenceville",Games,"After a long hiatus we are bringing back City of Play's board game nights! Games start at 7 but Monday nights at Spirit come with happy hour specials of fried pizza logs, Tequila drinks, and an experimental weekly menu so you're welcome to stop in anytime! We are still in the process of re-building our game library and are accepting donations! We will be providing some games but people can certainly bring their own as well! At 8, a DJ will be playing some quiet easy listening music to game to! So plan for a full night of fun! 412-586-4441"
Maker Story Time,https://www.pghcitypaper.com/pittsburgh/maker-story-time/Event?oid=1800350,"Mondays, 11 a.m.-12 p.m.",Children's Museum of Pittsburgh,"10 Children's Way, Pittsburgh
North Side",Kidstuff,"Explore tools, materials & processes inspired by books. Listen to stories read by librarian-turned-Teaching Artist Molly. 412-322-5058"
Trivia Night!,https://www.pghcitypaper.com/pittsburgh/trivia-night/Event?oid=23987737,Every other Monday,Hop Farm Brewing,"5601 Butler St., Pittsburgh
Lawrenceville",Trivia,"Teams of up to 6 people compete in fun, unique, and challenging trivia for a Hop Farm gift certificate. Written and run by Jeopardy! champion and The Chase winner, Liz Quesnelle, it's the best trivia night in town! https://www.google.com/search?q=hop+farm&oq=hop+farm&aqs=edge..69i57j69i59j0i20i263i512j0i512l5j69i60.2240j0j1&sourceid=chrome&ie=UTF-8#"
Assemble Girls Maker Night Virtual Afterschool Program,https://www.pghcitypaper.com/pittsburgh/assemble-girls-maker-night-virtual-afterschool-program/Event?oid=18091304,"Mondays, 4-5:30 p.m.",,,Kidstuff,"Virtual Assemble is a STEAM (Science, Technology, Engineering, Art, & Math) centered digital hangout and material kit. Join Assemble teachers after school from 4:00pm-5:30pm in this weekly after school program. Each week students explore the dynamic world of STEAM through hands-on activities and dreaming up creative inventions together. Virtual Assemble after school sessions also include special visits from local artists, makers, and technologists who share their passion and talents with the group. 412-661-6111"
